"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.434397940E-1	-1.012747288E0	-5.075707436E-1	1.031930828E1	1.038130091E1
8.454398270E-1	-1.051054597E0	-5.099649429E-1	1.030733776E1	1.037333079E1
8.474389600E-1	-1.094150186E0	-5.171475410E-1	1.030015469E1	1.037100732E1
8.494380600E-1	-1.137245774E0	-5.243301988E-1	1.029536629E1	1.037124954E1
8.514380260E-1	-1.182735682E0	-5.315127969E-1	1.029536629E1	1.037670162E1
8.534379920E-1	-1.228225470E0	-5.410895944E-1	1.029297256E1	1.038010597E1
8.554379580E-1	-1.266532660E0	-5.506663918E-1	1.029057789E1	1.038283833E1
8.574379240E-1	-1.297657371E0	-5.602431893E-1	1.029057789E1	1.038719309E1
8.594378900E-1	-1.326387763E0	-5.650315881E-1	1.029776096E1	1.039819437E1
8.614378900E-1	-1.350329757E0	-5.674257874E-1	1.030973148E1	1.041325721E1
8.634381230E-1	-1.364694953E0	-5.602431893E-1	1.032888508E1	1.043370173E1
8.654381560E-1	-1.374271750E0	-5.482721925E-1	1.034803867E1	1.045328320E1
8.674390560E-1	-1.379060149E0	-5.339069963E-1	1.036479855E1	1.046976182E1
8.694390890E-1	-1.379060149E0	-5.291185975E-1	1.037916374E1	1.048374043E1
